1,0,0,0,0,0,0.01
0,1,0.03,0,0,0.01277981964,0
0,0,1,0,0,0.02574500331,0
0,0,0,1,0.01,0,0
0,0,0,0.17564906,1,0.1433890945,0
0,0,0,0,0,1,0
0,0,0,0,0,0,1
0,0,0,0,0.02435094002,0.01,0
1,0,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,-22.28108326,0,-1.524358121,0
0,0,0,0,1,0,0
0,0,0,0,0,2.574500331,0
0,0,0,0,0,1,0
0,0,0,0,0,0,1
0,0,-1.728916741,0,0,0,0
0.2226851604,0,0,0,0,0,0.009633547861
0,0.2510389165,0,0,5.80883379e-05,0.01262554362,0
0,0.2195339669,0,0,0.0001170199703,0.02543437792,0
0,0,-6.239223713e-05,0.01000002509,0,-9.399475333e-05,0
0,0,-4.6069505e-05,1.000000004,0.0006516681394,0.1416405567,0
0,0,-0.0002448607918,0,0.004545283604,0.9879207855,0
6.969070208e-05,0,0,0,0,0,0.8541018662
0,-10,0,0,0,0,0
111,1,500,4000,0.7,190,1.12
1.3,0.35,0.4964,0.5986,1.221730476,0.05477225575,0.3206479091
3.065253572,0.939564867,0.01,2.205882353,0,3.75,3.5
